change_id,employee_id,change_type,old_value,new_value,effective_date,request_date,processed_date,change_status
CHG-0250,EMP-0227,Department Change,Operations,Engineering,2024-08-27,2024-08-17,2024-08-27,Completed
CHG-0251,EMP-0227,Job Title Change,Previous Role,Engineering Manager,2024-09-08,2024-08-28,2024-09-09,Completed
CHG-0252,EMP-0100,Department Change,Operations,Data & Analytics,2025-09-10,2025-08-24,2025-09-13,Completed
CHG-0253,EMP-0730,Manager Change,EMP-0001,EMP-0002,2026-05-22,2026-05-19,2026-05-24,Completed
CHG-0254,EMP-0640,Manager Change,EMP-0001,EMP-0261,2025-08-24,2025-08-20,2025-08-22,Completed
CHG-0255,EMP-0640,Compensation Change,92000,97000,2024-02-12,2024-02-03,2024-02-15,Completed
CHG-0256,EMP-0607,Manager Change,EMP-0001,EMP-0604,2026-02-12,2026-01-29,2026-02-17,Completed
CHG-0257,EMP-0607,Department Change,Operations,Engineering,2025-05-16,2025-04-28,2025-05-14,Completed
CHG-0258,EMP-0999,Manager Change,EMP-0001,EMP-0948,2024-01-29,2024-01-21,2024-01-28,Completed
CHG-0259,EMP-0025,Compensation Change,100000,103000,2026-02-22,2026-02-06,2026-02-25,Completed
CHG-0260,EMP-0442,Manager Change,EMP-0001,EMP-0152,2026-01-29,2026-01-13,2026-01-27,Completed
CHG-0261,EMP-0489,Job Title Change,Previous Role,Data Analyst,2026-06-14,2026-06-11,2026-06-12,Completed
CHG-0262,EMP-0188,Department Change,Operations,Operations,2025-10-02,2025-09-14,2025-09-30,Completed
CHG-0263,EMP-0247,Job Title Change,Previous Role,Analytics Manager,2024-09-05,2024-08-23,2024-09-10,Completed
CHG-0264,EMP-0662,Job Title Change,Previous Role,Sales Manager,2026-06-29,2026-06-19,2026-07-01,Completed
CHG-0265,EMP-0045,Compensation Change,71000,81000,2024-05-15,2024-04-27,2024-05-19,Completed
CHG-0266,EMP-0257,Compensation Change,105000,113000,2026-03-11,2026-02-24,2026-03-10,Completed
CHG-0267,EMP-0482,Manager Change,EMP-0001,EMP-0267,2024-08-24,2024-08-05,,Completed
CHG-0268,EMP-0482,Manager Change,EMP-0001,EMP-0267,2026-06-17,2026-05-28,2026-06-16,Completed
CHG-0269,EMP-0287,Compensation Change,104000,109000,2026-03-30,2026-03-17,2026-03-29,Completed
CHG-0270,EMP-0287,Compensation Change,104000,109000,2026-04-30,2026-04-24,2026-05-05,Completed
CHG-0271,EMP-0147,Compensation Change,93000,96000,2026-01-06,2025-12-20,2026-01-09,Completed
CHG-0272,EMP-0216,Manager Change,EMP-0001,EMP-0184,2026-05-30,2026-05-11,2026-06-04,Completed
CHG-0273,EMP-0973,Manager Change,EMP-0001,EMP-0477,2025-01-21,2025-01-14,2025-01-25,Completed
CHG-0274,EMP-0973,Manager Change,EMP-0001,EMP-0477,2025-04-30,2025-04-17,2025-05-02,Completed
CHG-0275,EMP-0973,Department Change,Operations,Marketing,2026-07-25,2026-07-22,2026-07-29,Completed
CHG-0276,EMP-0531,Compensation Change,69000,79000,2024-06-29,2024-06-20,2024-06-28,Completed
CHG-0277,EMP-0957,Compensation Change,80000,83000,2026-02-17,2026-02-06,2026-02-20,Completed
CHG-0278,EMP-0741,Manager Change,EMP-0001,EMP-0661,2024-12-11,2024-12-09,2024-12-09,Completed
CHG-0279,EMP-0834,Department Change,Operations,Data & Analytics,2024-11-18,2024-11-14,2024-11-19,Completed
CHG-0280,EMP-0195,Department Change,Operations,Engineering,2025-08-04,2025-07-30,2025-08-07,Completed
CHG-0281,EMP-0195,Job Title Change,Previous Role,Software Engineer,2025-02-28,2025-02-21,2025-03-01,Completed
CHG-0282,EMP-0777,Compensation Change,80000,85000,2025-05-06,2025-05-04,2025-05-07,Completed
CHG-0283,EMP-0566,Manager Change,EMP-0001,EMP-0415,2024-03-10,2024-02-21,2024-03-13,Completed
CHG-0284,EMP-0566,Compensation Change,104000,107000,2024-05-23,2024-05-12,2024-05-25,Completed
CHG-0285,EMP-0245,Manager Change,EMP-0001,EMP-0025,2025-10-29,2025-10-23,2025-11-02,Completed
CHG-0286,EMP-0245,Manager Change,EMP-0001,EMP-0025,2026-05-18,2026-04-28,2026-05-23,Completed
CHG-0287,EMP-0646,Department Change,Operations,Sales,2024-08-18,2024-07-31,2024-08-21,Completed
CHG-0288,EMP-0949,Manager Change,EMP-0001,EMP-0814,2024-11-24,2024-11-21,2024-11-26,Completed
CHG-0289,EMP-0949,Department Change,Operations,Operations,2025-02-19,2025-02-09,2025-02-23,Completed
CHG-0290,EMP-0950,Compensation Change,68000,73000,2025-02-02,2025-01-15,2025-02-04,Completed
CHG-0291,EMP-0149,Job Title Change,Previous Role,Software Engineer,2026-07-11,2026-06-25,2026-07-13,Completed
CHG-0292,EMP-0477,Compensation Change,105000,113000,2026-06-02,2026-05-26,2026-06-04,Completed
CHG-0293,EMP-0863,Job Title Change,Previous Role,Marketing Specialist,2026-02-14,2026-02-03,2026-02-16,Completed
CHG-0294,EMP-0211,Department Change,Operations,Engineering,2025-06-17,2025-06-05,2025-06-19,Completed
CHG-0295,EMP-0309,Manager Change,EMP-0001,EMP-0293,2026-05-13,2026-05-09,2026-05-12,Completed
CHG-0296,EMP-0394,Department Change,Operations,Engineering,2026-02-13,2026-02-10,2026-02-11,Completed
CHG-0297,EMP-0690,Compensation Change,73000,81000,2024-06-17,2024-06-04,2024-06-19,Completed
CHG-0298,EMP-0502,Job Title Change,Previous Role,Senior Data Analyst,2025-12-03,2025-11-18,2025-12-08,Completed
CHG-0299,EMP-0240,Job Title Change,Previous Role,Sales Operations Analyst,2025-12-18,2025-12-03,2025-12-21,Completed
CHG-0300,EMP-0617,Manager Change,EMP-0001,EMP-0102,2026-06-01,2026-05-21,2026-06-03,Completed
CHG-0301,EMP-0617,Job Title Change,Previous Role,Customer Success Manager,2026-04-28,2026-04-16,2026-04-30,Completed
CHG-0302,EMP-0959,Department Change,Operations,Product,2026-08-12,2026-07-24,2026-08-11,Completed
CHG-0303,EMP-0867,Manager Change,EMP-0001,EMP-0520,2026-06-01,2026-05-12,2026-06-06,Completed
CHG-0304,EMP-0867,Job Title Change,Previous Role,Senior Software Engineer,2024-01-10,2024-01-03,2024-01-13,Completed
CHG-0305,EMP-0236,Manager Change,EMP-0001,EMP-0106,2026-06-18,2026-06-16,2026-06-20,Completed
CHG-0306,EMP-0794,Department Change,Operations,Sales,2026-06-17,2026-06-06,2026-06-15,Completed
CHG-0307,EMP-0660,Manager Change,EMP-0001,EMP-0278,2024-03-28,2024-03-11,2024-03-29,Completed
CHG-0308,EMP-0424,Department Change,Operations,Marketing,2026-02-22,2026-02-11,2026-02-26,Completed
CHG-0309,EMP-0546,Compensation Change,59000,69000,2025-10-07,2025-09-17,2025-10-08,Completed
CHG-0310,EMP-0657,Manager Change,EMP-0001,EMP-0331,2025-03-06,2025-02-16,2025-03-07,Completed
CHG-0311,EMP-0732,Manager Change,EMP-0001,EMP-0304,2025-05-07,2025-04-17,2025-05-05,Completed
CHG-0312,EMP-0356,Job Title Change,Previous Role,IT Manager,2025-07-02,2025-06-23,2025-07-04,Completed
CHG-0313,EMP-0641,Compensation Change,104000,109000,2026-05-27,2026-05-09,2026-05-28,Completed
CHG-0314,EMP-0641,Manager Change,EMP-0001,EMP-0482,2026-05-03,2026-04-20,2026-05-05,Completed
CHG-0315,EMP-0641,Department Change,Operations,Engineering,2026-06-27,2026-06-15,2026-06-29,Completed
CHG-0316,EMP-0285,Job Title Change,Previous Role,Marketing Analyst,2024-03-05,2024-02-22,2024-03-03,Completed
CHG-0317,EMP-0401,Manager Change,EMP-0001,EMP-0020,2026-01-02,2025-12-23,2025-12-31,Completed
CHG-0318,EMP-0401,Job Title Change,Previous Role,Customer Success Specialist,2024-12-30,2024-12-19,2025-01-02,Completed
CHG-0319,EMP-0582,Job Title Change,Previous Role,Paralegal,2025-01-24,2025-01-06,2025-01-25,Completed
CHG-0320,EMP-0582,Compensation Change,113000,116000,2026-06-28,2026-06-10,2026-06-30,Completed
CHG-0321,EMP-0582,Compensation Change,113000,116000,2024-07-19,2024-07-07,2024-07-21,Completed
CHG-0322,EMP-0572,Department Change,Operations,Sales,2024-07-06,2024-07-02,2024-07-10,Completed
CHG-0323,EMP-0388,Manager Change,EMP-0001,EMP-0083,2024-11-16,2024-10-28,2024-11-21,Completed
CHG-0324,EMP-0761,Job Title Change,Previous Role,Senior Software Engineer,2026-08-03,2026-07-24,2026-08-05,Completed
CHG-0325,EMP-0219,Department Change,Operations,Sales,2024-03-09,2024-03-07,2024-03-12,Completed
CHG-0326,EMP-0253,Job Title Change,Previous Role,Analytics Manager,2025-04-28,2025-04-10,2025-05-02,Completed
CHG-0327,EMP-0253,Job Title Change,Previous Role,Analytics Manager,2025-04-15,2025-03-28,2025-04-17,Completed
CHG-0328,EMP-0253,Compensation Change,90000,98000,2026-06-13,2026-06-02,2026-06-13,Completed
CHG-0329,EMP-0064,Job Title Change,Previous Role,Sales Manager,2025-01-04,2024-12-17,2025-01-09,Completed
CHG-0330,EMP-0272,Job Title Change,Previous Role,Software Engineer,2025-01-27,2025-01-08,2025-01-31,Completed
CHG-0331,EMP-0272,Manager Change,EMP-0001,EMP-0226,2026-05-29,2026-05-18,2026-05-28,Completed
CHG-0332,EMP-0713,Department Change,Operations,Engineering,2026-04-28,2026-04-22,2026-04-30,Completed
CHG-0333,EMP-0713,Compensation Change,129000,139000,2024-10-30,2024-10-19,2024-10-30,Completed
CHG-0334,EMP-0574,Department Change,Operations,Marketing,2026-03-09,2026-03-07,2026-03-09,Completed
CHG-0335,EMP-0855,Manager Change,EMP-0001,EMP-0521,2026-06-08,2026-05-30,2026-06-11,Completed
CHG-0336,EMP-0374,Manager Change,EMP-0001,EMP-0174,2025-04-25,2025-04-10,2025-04-24,Completed
CHG-0337,EMP-0374,Job Title Change,Previous Role,IT Manager,2026-08-16,2026-08-08,2026-08-16,Completed
CHG-0338,EMP-0506,Manager Change,EMP-0001,EMP-0328,2024-08-02,2024-07-24,2024-08-01,Completed
CHG-0339,EMP-0481,Compensation Change,112000,122000,2024-08-05,2024-07-26,2024-08-10,Completed
CHG-0340,EMP-0351,Compensation Change,119000,124000,2025-11-22,2025-11-08,2025-11-27,Completed
CHG-0341,EMP-0351,Compensation Change,121000,124000,2025-06-07,2025-05-25,2025-06-11,Completed
CHG-0342,EMP-0725,Department Change,Operations,Data & Analytics,2024-02-21,2024-02-14,2024-02-25,Completed
CHG-0343,EMP-0538,Compensation Change,101000,111000,2024-08-09,2024-08-03,2024-08-09,Completed
CHG-0344,EMP-0538,Job Title Change,Previous Role,Analytics Manager,2026-05-21,2026-05-12,2026-05-20,Completed
CHG-0345,EMP-0106,Job Title Change,Previous Role,Marketing Analyst,2025-11-22,2025-11-20,2025-11-21,Completed
CHG-0346,EMP-0304,Compensation Change,96000,104000,2024-03-03,2024-02-27,2024-03-02,Completed
CHG-0347,EMP-0967,Manager Change,EMP-0001,EMP-0701,2024-10-23,2024-10-10,2024-10-27,Completed
CHG-0348,EMP-0778,Manager Change,EMP-0001,EMP-0599,2026-05-08,2026-04-19,2026-05-06,Completed
CHG-0349,EMP-0104,Job Title Change,Previous Role,Operations Manager,2024-05-03,2024-04-22,2024-05-02,Completed
CHG-0350,EMP-0001,Department Change,Operations,Operations,2026-07-05,2026-06-28,2026-07-03,Completed
CHG-0351,EMP-0223,Department Change,Operations,Customer Success,2024-01-14,2023-12-25,2024-01-13,Completed
CHG-0352,EMP-0755,Manager Change,EMP-0001,EMP-0137,2026-03-24,2026-03-10,2026-03-26,Completed
CHG-0353,EMP-0755,Compensation Change,106000,114000,2025-02-23,2025-02-10,2025-02-28,Completed
CHG-0354,EMP-0091,Department Change,Operations,Engineering,2024-05-31,2024-05-23,2024-05-29,Completed
CHG-0355,EMP-0514,Manager Change,EMP-0001,EMP-0188,2024-06-07,2024-05-30,2024-06-05,Completed
CHG-0356,EMP-0587,Department Change,Operations,Operations,2025-06-09,2025-05-23,2025-06-09,Completed
CHG-0357,EMP-0789,Job Title Change,Previous Role,Finance Manager,2026-05-04,2026-04-26,2026-05-06,Completed
CHG-0358,EMP-0129,Job Title Change,Previous Role,Financial Analyst,2026-03-13,2026-03-10,2026-03-16,Completed
CHG-0359,EMP-0129,Compensation Change,105000,110000,2024-05-03,2024-04-20,2024-05-07,Completed
CHG-0360,EMP-0524,Job Title Change,Previous Role,Marketing Analyst,2025-06-01,2025-05-21,2025-06-04,Completed
CHG-0361,EMP-0524,Manager Change,EMP-0001,EMP-0424,2024-02-26,2024-02-15,2024-02-24,Completed
CHG-0362,EMP-0423,Department Change,Operations,Marketing,2024-10-16,2024-10-02,2024-10-20,Completed
CHG-0363,EMP-0423,Department Change,Operations,Marketing,2025-01-14,2025-01-02,2025-01-12,Completed
CHG-0364,EMP-0423,Job Title Change,Previous Role,Marketing Manager,2025-11-03,2025-10-27,2025-11-08,Completed
CHG-0365,EMP-0455,Department Change,Operations,Human Resources,2025-10-19,2025-10-11,2025-10-22,Completed
CHG-0366,EMP-0719,Manager Change,EMP-0001,EMP-0002,2024-01-19,2023-12-30,2024-01-22,Completed
CHG-0367,EMP-0978,Department Change,Operations,Product,2026-08-14,2026-08-08,2026-08-13,Completed
CHG-0368,EMP-0411,Job Title Change,Previous Role,Customer Success Specialist,2025-01-25,2025-01-05,2025-01-24,Completed
CHG-0369,EMP-0411,Compensation Change,104000,109000,2024-08-07,2024-07-22,2024-08-07,Completed
CHG-0370,EMP-0721,Manager Change,EMP-0001,EMP-0099,2026-06-24,2026-06-22,2026-06-25,Completed
CHG-0371,EMP-0639,Manager Change,EMP-0001,EMP-0421,2024-03-30,2024-03-13,2024-04-04,Completed
CHG-0372,EMP-0857,Manager Change,EMP-0001,EMP-0188,2024-04-12,2024-04-03,2024-04-17,Completed
CHG-0373,EMP-0857,Department Change,Operations,Operations,2026-08-16,2026-08-11,2026-08-17,Completed
CHG-0374,EMP-0358,Manager Change,EMP-0001,EMP-0291,2026-07-29,2026-07-15,2026-07-31,Completed
CHG-0375,EMP-0459,Department Change,Operations,Customer Success,2025-02-05,2025-01-27,2025-02-06,Completed
CHG-0376,EMP-0459,Manager Change,EMP-0001,EMP-0307,2024-06-16,2024-06-06,2024-06-16,Completed
CHG-0377,EMP-0955,Department Change,Operations,Customer Success,2025-10-25,2025-10-08,2025-10-24,Completed
CHG-0378,EMP-0955,Compensation Change,58000,66000,2024-07-18,2024-07-12,2024-07-18,Completed
CHG-0379,EMP-0119,Job Title Change,Previous Role,Sales Manager,2025-12-11,2025-11-22,2025-12-12,Completed
CHG-0380,EMP-0576,Job Title Change,Previous Role,Data Analyst,2026-07-25,2026-07-08,2026-07-28,Completed
CHG-0381,EMP-0970,Job Title Change,Previous Role,Senior Software Engineer,2026-06-27,2026-06-25,2026-06-28,Completed
CHG-0382,EMP-0970,Manager Change,EMP-0001,EMP-0754,2026-02-18,2026-02-05,2026-02-17,Completed
CHG-0383,EMP-0544,Job Title Change,Previous Role,Finance Manager,2024-10-05,2024-09-26,2024-10-08,Completed
CHG-0384,EMP-0940,Department Change,Operations,Product,2024-04-06,2024-03-29,2024-04-06,Completed
CHG-0385,EMP-0940,Compensation Change,76000,84000,2025-09-15,2025-08-28,2025-09-17,Completed
CHG-0386,EMP-0244,Manager Change,EMP-0001,EMP-0125,2025-06-18,2025-06-02,2025-06-22,Completed
CHG-0387,EMP-0804,Compensation Change,95000,100000,2024-01-11,2024-01-01,2024-01-09,Completed
CHG-0388,EMP-0804,Compensation Change,97000,100000,2024-03-11,2024-03-03,2024-03-12,Completed
CHG-0389,EMP-0758,Manager Change,EMP-0001,EMP-0302,2024-12-27,2024-12-15,2024-12-29,Completed
CHG-0390,EMP-0758,Compensation Change,135000,138000,2025-05-13,2025-05-05,2025-05-14,Completed
CHG-0391,EMP-0827,Compensation Change,105000,110000,2025-01-28,2025-01-17,2025-01-29,Completed
CHG-0392,EMP-0827,Department Change,Operations,Customer Success,2026-02-11,2026-02-06,2026-02-16,Completed
CHG-0393,EMP-0760,Department Change,Operations,Human Resources,2025-11-11,2025-10-29,2025-11-13,Completed
CHG-0394,EMP-0652,Compensation Change,72000,80000,2026-01-20,2026-01-09,2026-01-19,Completed
CHG-0395,EMP-0133,Compensation Change,73000,83000,2024-09-22,2024-09-11,2024-09-26,Completed
CHG-0396,EMP-0277,Department Change,Operations,Product,2025-06-05,2025-05-20,2025-06-10,Completed
CHG-0397,EMP-0483,Department Change,Operations,Operations,2024-10-12,2024-10-02,2024-10-12,Completed
CHG-0398,EMP-0483,Compensation Change,67000,75000,2024-05-22,2024-05-05,2024-05-20,Completed
CHG-0399,EMP-0136,Compensation Change,103000,108000,2026-08-09,2026-07-27,2026-08-08,Completed
CHG-0400,EMP-0238,Job Title Change,Previous Role,Sales Manager,2024-03-26,2024-03-08,2024-03-25,Completed
CHG-0401,EMP-0238,Department Change,Operations,Sales,2025-12-18,2025-12-01,2025-12-20,Completed
CHG-0402,EMP-0295,Compensation Change,98000,108000,2024-04-12,2024-04-06,2024-04-14,Completed
CHG-0403,EMP-0832,Compensation Change,69000,74000,2026-07-23,2026-07-07,2026-07-27,Completed
CHG-0404,EMP-0832,Manager Change,EMP-0001,EMP-9999,2026-06-06,2026-05-18,2026-06-08,Completed
CHG-0405,EMP-0072,Job Title Change,Previous Role,Senior Data Analyst,2025-02-11,2025-02-01,2025-02-16,Completed
CHG-0406,EMP-0766,Job Title Change,Previous Role,Senior Product Manager,2025-06-16,2025-05-29,2025-06-14,Completed
CHG-0407,EMP-0988,Manager Change,EMP-0001,EMP-0237,2026-05-10,2026-04-26,2026-05-10,Completed
CHG-0408,EMP-0988,Department Change,Operations,Engineering,2025-04-01,2025-03-20,2025-04-06,Completed
CHG-0409,EMP-0968,Job Title Change,Previous Role,Software Engineer,2025-08-18,2025-08-08,2025-08-21,Completed
CHG-0410,EMP-0126,Department Change,Operations,Legal,2024-12-13,2024-11-30,2024-12-18,Completed
CHG-0411,EMP-0126,Manager Change,EMP-0001,EMP-0111,2026-01-26,2026-01-24,2026-01-25,Completed
CHG-0412,EMP-0634,Department Change,Operations,Engineering,2026-02-18,2026-02-04,2026-02-17,Completed
CHG-0413,EMP-0541,Compensation Change,145000,155000,2025-03-25,2025-03-07,2025-03-25,Completed
CHG-0414,EMP-0471,Manager Change,EMP-0001,EMP-0190,2026-02-11,2026-02-08,2026-02-09,Completed
CHG-0415,EMP-0471,Manager Change,EMP-0001,EMP-0190,2026-07-30,2026-07-13,2026-07-30,Completed
CHG-0416,EMP-0471,Manager Change,EMP-0001,EMP-0190,2026-03-11,2026-02-24,2026-03-16,Completed
CHG-0417,EMP-0137,Compensation Change,65000,68000,2024-07-15,2024-07-11,2024-07-17,Completed
CHG-0418,EMP-0903,Job Title Change,Previous Role,Legal Operations Specialist,2026-01-23,2026-01-05,2026-01-26,Completed
CHG-0419,EMP-0903,Manager Change,EMP-0001,EMP-0002,2026-01-18,2026-01-01,2026-01-19,Completed
CHG-0420,EMP-0108,Job Title Change,Previous Role,HR Manager,2025-12-14,2025-12-08,2025-12-14,Completed
CHG-0421,EMP-0942,Compensation Change,112000,115000,2025-01-23,2025-01-16,2025-01-25,Completed
CHG-0422,EMP-0603,Department Change,Operations,Customer Success,2026-02-13,2026-02-07,2026-02-16,Completed
CHG-0423,EMP-0984,Compensation Change,61000,69000,2025-11-02,2025-10-15,2025-11-06,Completed
CHG-0424,EMP-0962,Manager Change,EMP-0001,EMP-0585,2026-02-04,2026-01-29,2026-02-06,Completed
CHG-0425,EMP-0937,Compensation Change,90000,95000,2025-05-17,2025-05-13,2025-05-17,Completed
CHG-0426,EMP-0198,Compensation Change,101000,106000,2024-12-27,2024-12-22,2024-12-26,Completed
CHG-0427,EMP-0185,Compensation Change,106000,114000,2026-06-19,2026-06-15,2026-06-20,Completed
CHG-0428,EMP-0185,Compensation Change,104000,114000,2024-05-06,2024-04-21,2024-05-09,Completed
CHG-0429,EMP-0479,Department Change,Operations,Engineering,2026-01-30,2026-01-22,2026-01-28,Completed
CHG-0430,EMP-0479,Compensation Change,95000,100000,2026-02-05,2026-02-01,2026-02-04,Completed
CHG-0431,EMP-0742,Compensation Change,112000,117000,2024-09-19,2024-09-06,2024-09-21,Completed
CHG-0432,EMP-0742,Job Title Change,Previous Role,Sales Manager,2024-09-23,2024-09-12,2024-09-21,Completed
CHG-0433,EMP-0751,Job Title Change,Previous Role,Senior Product Manager,2024-07-30,2024-07-14,2024-08-04,Completed
CHG-0434,EMP-0305,Department Change,Operations,Engineering,2025-02-01,2025-01-14,2025-02-02,Completed
CHG-0435,EMP-0305,Job Title Change,Previous Role,Engineering Manager,2024-12-02,2024-11-28,2024-11-30,Completed
CHG-0436,EMP-0173,Job Title Change,Previous Role,HR Coordinator,2026-08-22,2026-08-17,2026-08-26,Completed
CHG-0437,EMP-0173,Manager Change,EMP-0001,EMP-0137,2026-06-03,2026-05-16,2026-06-08,Completed
CHG-0438,EMP-0464,Job Title Change,Previous Role,Software Engineer,2024-09-10,2024-08-26,2024-09-12,Completed
CHG-0439,EMP-0464,Department Change,Operations,Engineering,2026-01-15,2025-12-28,2026-01-15,Completed
CHG-0440,EMP-0898,Compensation Change,94000,102000,2025-01-31,2025-01-16,2025-01-30,Completed
CHG-0441,EMP-0597,Job Title Change,Previous Role,Engineering Manager,2026-04-18,2026-04-04,2026-04-16,Completed
CHG-0442,EMP-0391,Manager Change,EMP-0001,EMP-0314,2025-07-12,2025-06-22,2025-07-11,Completed
CHG-0443,EMP-0858,Job Title Change,Previous Role,Operations Specialist,2024-05-25,2024-05-14,2024-05-25,Completed
CHG-0444,EMP-0992,Department Change,Operations,Engineering,2024-04-06,2024-03-23,2024-04-04,Completed
CHG-0445,EMP-0992,Job Title Change,Previous Role,Software Engineer,2026-01-10,2026-01-07,2026-01-10,Completed
CHG-0446,EMP-0909,Job Title Change,Previous Role,Engineering Manager,2024-09-20,2024-09-02,2024-09-19,Completed
CHG-0447,EMP-0823,Department Change,Operations,Customer Success,2025-05-01,2025-04-14,2025-04-30,Completed
CHG-0448,EMP-0162,Job Title Change,Previous Role,Senior Data Analyst,2025-05-19,2025-05-09,2025-05-17,Completed
CHG-0449,EMP-0330,Job Title Change,Previous Role,Senior Software Engineer,2026-05-09,2026-04-30,2026-05-13,Completed
CHG-0450,EMP-0330,Compensation Change,121000,124000,2026-07-27,2026-07-25,2026-07-29,Completed
CHG-0451,EMP-0184,Department Change,Operations,Engineering,2024-10-01,2024-09-12,2024-09-30,Completed
CHG-0452,EMP-0463,Manager Change,EMP-0001,EMP-0246,2026-08-07,2026-07-18,2026-08-11,Completed
CHG-0453,EMP-0765,Compensation Change,81000,89000,2026-08-02,2026-07-31,2026-08-03,Completed
CHG-0454,EMP-0202,Job Title Change,Previous Role,Senior Data Analyst,2024-08-10,2024-08-03,2024-08-15,Completed
CHG-0455,EMP-0202,Manager Change,EMP-0001,EMP-0161,2025-05-09,2025-04-29,2025-05-13,Completed
CHG-0456,EMP-0202,Manager Change,EMP-0001,EMP-0161,2024-11-13,2024-10-31,2024-11-13,Completed
CHG-0457,EMP-0052,Compensation Change,91000,101000,2026-07-07,2026-06-21,2026-07-09,Completed
CHG-0458,EMP-0509,Compensation Change,130000,140000,2025-02-15,2025-02-11,2025-02-18,Completed
CHG-0459,EMP-0511,Manager Change,EMP-0001,EMP-0455,2026-07-11,2026-06-30,2026-07-15,Completed
CHG-0460,EMP-0525,Department Change,Operations,Marketing,2025-03-03,2025-02-14,2025-03-02,Completed
CHG-0461,EMP-0059,Department Change,Operations,Human Resources,2024-09-15,2024-09-08,2024-09-20,Completed
CHG-0462,EMP-0310,Department Change,Operations,Operations,2025-05-29,2025-05-25,2025-06-01,Completed
CHG-0463,EMP-0510,Compensation Change,60000,70000,2025-08-25,2025-08-12,2025-08-25,Completed
CHG-0464,EMP-0123,Compensation Change,86000,91000,2025-11-05,2025-10-19,2025-11-04,Completed
CHG-0465,EMP-0352,Job Title Change,Previous Role,Senior Software Engineer,2025-11-08,2025-11-02,2025-11-07,Completed
CHG-0466,EMP-0517,Manager Change,EMP-0001,EMP-0324,2026-07-10,2026-07-03,2026-07-10,Completed
CHG-0467,EMP-0517,Job Title Change,Previous Role,HR Specialist,2026-05-11,2026-04-29,2026-05-12,Completed
CHG-0468,EMP-0571,Job Title Change,Previous Role,Customer Success Manager,2025-12-21,2025-12-08,2025-12-23,Completed
CHG-0469,EMP-0571,Department Change,Operations,Customer Success,2024-11-25,2024-11-14,2024-11-30,Completed
CHG-0470,EMP-0124,Manager Change,EMP-0001,EMP-0079,2026-08-07,2026-07-25,2026-08-10,Completed
CHG-0471,EMP-0669,Department Change,Operations,Engineering,2024-08-28,2024-08-21,2024-08-31,Completed
CHG-0472,EMP-0669,Department Change,Operations,Engineering,2024-01-14,2024-01-12,2024-01-19,Completed
CHG-0473,EMP-0273,Manager Change,EMP-0001,EMP-0206,2026-01-10,2025-12-23,2026-01-11,Completed
CHG-0474,EMP-0852,Job Title Change,Previous Role,Operations Analyst,2024-12-24,2024-12-04,2024-12-24,Completed
CHG-0475,EMP-0998,Job Title Change,Previous Role,Financial Analyst,2024-04-24,2024-04-18,2024-04-22,Completed
CHG-0476,EMP-0456,Compensation Change,138000,143000,2026-08-05,2026-07-22,2026-08-08,Completed
CHG-0477,EMP-0164,Job Title Change,Previous Role,HR Manager,2024-02-07,2024-01-22,2024-02-11,Completed
CHG-0478,EMP-0164,Job Title Change,Previous Role,HR Manager,2024-09-16,2024-09-05,2024-09-15,Completed
CHG-0479,EMP-0324,Job Title Change,Previous Role,HR Coordinator,2025-09-26,2025-09-15,2025-09-24,Completed
CHG-0480,EMP-0324,Manager Change,EMP-0001,EMP-0002,2025-09-03,2025-08-24,2025-09-02,Completed
CHG-0481,EMP-0347,Compensation Change,86000,96000,2026-08-16,2026-08-01,2026-08-19,Completed
CHG-0482,EMP-0246,Job Title Change,Previous Role,Operations Specialist,2025-01-12,2025-01-06,2025-01-13,Completed
CHG-0483,EMP-0249,Job Title Change,Previous Role,Marketing Analyst,2025-12-23,2025-12-09,2025-12-22,Completed
CHG-0484,EMP-0249,Manager Change,EMP-0001,EMP-0192,2025-04-06,2025-04-04,2025-04-09,Completed
CHG-0485,EMP-0249,Job Title Change,Previous Role,Marketing Analyst,2025-05-01,2025-04-12,2025-05-03,Completed
CHG-0486,EMP-0786,Compensation Change,118000,126000,2025-11-21,2025-11-18,2025-11-20,Completed
CHG-0487,EMP-0786,Manager Change,EMP-0001,EMP-0351,2025-11-22,2025-11-11,2025-11-25,Completed
CHG-0488,EMP-0046,Compensation Change,98000,108000,2025-06-07,2025-06-02,2025-06-11,Completed
CHG-0489,EMP-0865,Manager Change,EMP-0001,EMP-0177,2025-10-05,2025-10-03,2025-10-03,Completed
CHG-0490,EMP-0122,Department Change,Operations,Data & Analytics,2026-01-23,2026-01-19,2026-01-23,Completed
CHG-0491,EMP-0122,Department Change,Operations,Data & Analytics,2026-06-10,2026-06-06,2026-06-08,Completed
CHG-0492,EMP-0316,Job Title Change,Previous Role,HR Specialist,2025-07-04,2025-06-29,2025-07-03,Completed
CHG-0493,EMP-0316,Job Title Change,Previous Role,HR Specialist,2026-06-14,2026-06-01,2026-06-18,Completed
